target_gene,condition,n_sig_proteins,self_padj,self_lfc
NSG1,Control,0,,
RBP7,Control,0,,
CDK4,Control,0,,
SCARB2,Control,0,,
FSTL3,Control,0,,
DDR1,Control,0,,
SERPINF1,Control,0,,
JPT1,Control,0,,
CD63,IFNγ,0,,
JMJD7,Control,0,,
AEBP1,Control,0,,
FGFR1,Control,0,,
PYGB,Control,0,,
CMSS1,Control,0,,
ARMC6,Control,0,,
FOXM1,Control,0,,
NPC2,Control,0,,
S100B,Control,0,,
AGA,Control,0,,
NEAT1,Control,0,,
APOD,Control,0,,
TIMM50,Control,0,,
SLC5A3,Control,0,,
BOLA2,Control,0,,
SET,Control,0,,
SLC22A18,Control,0,,
TMEM173,Control,0,,
WNT7A,Control,0,,
LEF1-AS1,Control,0,,
SLC26A2,Control,0,,
SGK1,Control,0,,
P2RX4,Control,0,,
AHNAK,Control,0,,
PROS1,Control,0,,
EVA1A,Control,0,,
MC1R,Control,0,,
FBL,Control,0,,
LCP1,Control,0,,
LY96,Control,0,,
TTLL1,Control,0,,
S100A6,Control,0,,
CGAS,Control,0,,
TP53,Control,0,,
E2F1,Control,0,,
GPATCH4,Control,0,,
STOM,Control,0,,
C19orf48,Control,0,,
IFNGR2,Control,0,,
ST6GALNAC2,Control,0,,
SHMT2,Control,0,,
SNHG6,Control,0,,
RPSA,Control,0,,
HLA-H,Control,0,,
DDX39A,Control,0,,
ILF2,Control,0,,
CTSL,Control,0,,
NOLC1,Control,0,,
SMAD3,Control,0,,
RNF213,Control,0,,
PFN1,Control,0,,
DNMT1,Control,0,,
SDCBP,Control,0,,
DLL3,Control,0,,
FKBP4,Control,0,,
PSMB8-AS1,Control,0,,
CDH19,Control,0,,
CDKN2A,Control,0,,
LGALS3,Control,0,,
ENPP1,Control,0,,
SLIRP,Control,0,,
HLA-C,Control,0,,
TMED10,Control,0,,
KDR,Control,0,0.7058022467794053,-0.392278254032135
CD151,Control,0,,
HLA-E,Control,0,0.8906995345459414,-0.18329082429409027
RNASEH2A,Control,0,,
EIF3K,Control,0,,
SEC11C,Control,0,,
SPINT1,Control,0,,
CTPS1,Control,0,,
BOLA2B,Control,0,,
CSPG4,Control,0,,
TM4SF1,Control,0,,
IRF3,Control,0,,
GRN,Control,0,,
CCR10,Control,0,,
JAK2,Control,0,,
TSC22D3,Control,0,,
CTSA,Control,0,,
TIMP1,Control,0,,
FBXO32,Control,0,,
A2M,Control,0,,
CTSO,Control,0,,
TFAP2A,Control,0,,
