names,scores,logfoldchanges,pvals,pvals_adj,target_gene,condition
FSCN1,4.3422713,0.68182325,1.4101711984982045e-05,0.0023060675488820294,IFNGR2,IFNγ
PALLD,4.3052254,0.953674,1.6681586555910994e-05,0.0026908420436310304,IFNGR2,IFNγ
PRSS23,4.236326,0.53604805,2.2720683146403998e-05,0.003591685591783544,IFNGR2,IFNγ
SEMA3A,4.182033,0.6837955,2.8891366252939172e-05,0.004448519977855154,IFNGR2,IFNγ
BTG1,4.1714735,0.44826332,3.026362967940988e-05,0.004629749593278497,IFNGR2,IFNγ
WWTR1,4.1545396,0.5487974,3.259432249517346e-05,0.004922780732519447,IFNGR2,IFNγ
MSI2,4.088315,0.77634025,4.345179746962148e-05,0.006439556384997903,IFNGR2,IFNγ
RAI14,3.988101,0.4869771,6.660432841495361e-05,0.009630011191313292,IFNGR2,IFNγ
RHOBTB3,3.9809105,0.3799788,6.86517877462848e-05,0.009865886006302458,IFNGR2,IFNγ
BIRC2,3.871422,0.66258824,0.00010820230721655889,0.014495441292197991,IFNGR2,IFNγ
LRRC17,3.8236945,0.6727495,0.00013146686411821666,0.017128254296544798,IFNGR2,IFNγ
FHL2,3.8099735,0.37458572,0.00013898165526161042,0.018008377101438832,IFNGR2,IFNγ
DCBLD2,3.7760363,0.30041894,0.000159343801804532,0.02053456645863621,IFNGR2,IFNγ
SMC4,3.765164,0.3506228,0.00016643991877038643,0.021218405128405393,IFNGR2,IFNγ
EIF4EBP1,3.7137368,0.33271825,0.00020422115848284204,0.02509063269401632,IFNGR2,IFNγ
AKAP12,3.7030554,0.44809198,0.0002130182970343559,0.02590302491937768,IFNGR2,IFNγ
PHF19,3.683742,0.49900246,0.00022983477538801808,0.027664173573607537,IFNGR2,IFNγ
CXCL8,3.654911,0.5088805,0.0002572711687251706,0.030350318173190276,IFNGR2,IFNγ
HIPK2,3.645046,0.50540495,0.0002673440266800353,0.031382482973450476,IFNGR2,IFNγ
DKK1,3.5866544,0.67186475,0.0003349478278901033,0.038184052379471776,IFNGR2,IFNγ
DNAJB1,3.517147,0.58414656,0.00043621185707036,0.04701570706751079,IFNGR2,IFNγ
SLC7A11,3.5056496,0.30755544,0.0004554946566418107,0.04843358429726734,IFNGR2,IFNγ
NUDCD1,-3.5036001,-0.560993,0.0004590142091838936,0.04858993271503788,IFNGR2,IFNγ
SOCS3,-3.507942,-0.6246117,0.00045158737963412734,0.04823441417065057,IFNGR2,IFNγ
CDK5RAP2,-3.5153234,-0.44165674,0.00043921858086744226,0.04712557008836557,IFNGR2,IFNγ
AC245297.3,-3.518554,-0.5724157,0.00043390552511344014,0.04698067493831001,IFNGR2,IFNγ
MYO1B,-3.5197177,-0.3073346,0.00043200642637684434,0.04698067493831001,IFNGR2,IFNγ
CHMP5,-3.5292006,-0.26128328,0.0004168169893122237,0.045546379956550455,IFNGR2,IFNγ
HIF1A,-3.5343764,-0.24925658,0.0004087386530415715,0.04487042102278586,IFNGR2,IFNγ
SYNE2,-3.53554,-0.7657931,0.0004069426327746735,0.04487042102278586,IFNGR2,IFNγ
ADH5,-3.5392742,-0.2167219,0.0004012289434479073,0.04445766685531204,IFNGR2,IFNγ
LINC00944,-3.5493999,-0.9058515,0.00038611044606965653,0.042983337545557256,IFNGR2,IFNγ
HLA-DPA1,-3.5576844,-1.6217635,0.00037413852728847237,0.04184704131634084,IFNGR2,IFNγ
IFNGR2,-3.5769281,-0.5740276,0.00034765559783111533,0.03906923950602562,IFNGR2,IFNγ
NEAT1,-3.5820692,-0.2703394,0.0003408834951882538,0.03849061637097083,IFNGR2,IFNγ
ICMT,-3.5827813,-0.75223774,0.0003399552582962962,0.03849061637097083,IFNGR2,IFNγ
C5orf15,-3.594939,-0.630653,0.00032446765877813816,0.03716800543452759,IFNGR2,IFNγ
HSBP1,-3.5949736,-0.22783527,0.00032442437007880687,0.03716800543452759,IFNGR2,IFNγ
SLC12A8,-3.6174133,-0.54797083,0.0002975619734024916,0.034418485430828684,IFNGR2,IFNγ
IFI27,-3.6265316,-1.9206053,0.0002872537417612964,0.033389023160018926,IFNGR2,IFNγ
CENPX,-3.6295536,-0.29391992,0.0002839117796670376,0.03316313359342264,IFNGR2,IFNγ
UBE2D3,-3.6570127,-0.28347275,0.0002551718580517382,0.030253175490614084,IFNGR2,IFNγ
DUSP6,-3.6690834,-0.36201444,0.00024342164344852218,0.0290050955248812,IFNGR2,IFNγ
MCUB,-3.672036,-0.5972785,0.00024062577359771278,0.028816759310853358,IFNGR2,IFNγ
USP30-AS1,-3.6943367,-1.6090286,0.00022046155486614907,0.026671348923398605,IFNGR2,IFNγ
CALM3,-3.7101936,-0.33140346,0.000207100691435567,0.025313255645980234,IFNGR2,IFNγ
APOBEC3G,-3.7217088,-0.8655166,0.0001978791388588288,0.024438073649065355,IFNGR2,IFNγ
EHD1,-3.72553,-0.62447804,0.00019490543091503956,0.024196845957368682,IFNGR2,IFNγ
MVP,-3.7267282,-0.8318069,0.00019398145266390075,0.024196845957368682,IFNGR2,IFNγ
ARHGEF35,-3.7280307,-0.8111997,0.00019298179792181537,0.024196845957368682,IFNGR2,IFNγ
MET,-3.7427938,-0.7616854,0.00018198563648098802,0.022953422405516954,IFNGR2,IFNγ
RFC1,-3.7579212,-0.33190072,0.00017133073055765897,0.02172510311755727,IFNGR2,IFNγ
STOM,-3.770027,-0.73620737,0.00016322995449355034,0.020921668545681435,IFNGR2,IFNγ
TSPO,-3.8429036,-0.23057643,0.0001215872845309962,0.015928606026513713,IFNGR2,IFNγ
SPP1,-3.8567634,-0.36206833,0.00011489834528224486,0.01513594201851439,IFNGR2,IFNγ
CNIH4,-3.8651867,-0.24614881,0.0001110042142751581,0.014704647647444408,IFNGR2,IFNγ
PARL,-3.8683825,-0.58349425,0.00010955969799679002,0.014594828982583625,IFNGR2,IFNγ
TRIM56,-3.8766325,-0.48122016,0.00010591219754387419,0.014269261523638322,IFNGR2,IFNγ
DOCK10,-3.8788903,-0.6566641,0.00010493408870559438,0.014218269207926022,IFNGR2,IFNγ
IFI44L,-3.8796196,-1.4399266,0.0001046199105233453,0.014218269207926022,IFNGR2,IFNγ
EIF4A3,-3.8856637,-0.37693506,0.00010205065788943886,0.013987428901007943,IFNGR2,IFNγ
GABARAPL1,-3.8938441,-1.4368011,9.86680429528254e-05,0.013602422293589512,IFNGR2,IFNγ
CREG1,-3.914547,-0.59575,9.057410602186332e-05,0.012559609368365046,IFNGR2,IFNγ
MOB1A,-3.914738,-0.5066643,9.05024209692056e-05,0.012559609368365046,IFNGR2,IFNγ
PRKAR1A,-3.9230573,-0.39034554,8.74323303116101e-05,0.01226742849910591,IFNGR2,IFNγ
CYTOR,-3.93426,-0.25068295,8.345348619258206e-05,0.01177886347975301,IFNGR2,IFNγ
MYCBP2,-3.9557962,-0.59624815,7.628015822462898e-05,0.010830868933068278,IFNGR2,IFNγ
NDUFA9,-3.9779232,-0.30771634,6.951981278269721e-05,0.009930444582550097,IFNGR2,IFNγ
AK4,-3.988761,-1.2192286,6.641932103748375e-05,0.009630011191313292,IFNGR2,IFNγ
RNF114,-3.995986,-0.3901012,6.442552706956946e-05,0.009429988258479204,IFNGR2,IFNγ
NEXN,-4.0577817,-0.63135105,4.9541021418617455e-05,0.007296377017877374,IFNGR2,IFNγ
BAK1,-4.1078715,-0.77148056,3.993222617190309e-05,0.00595517576722117,IFNGR2,IFNγ
KARS,-4.136598,-0.47199845,3.524923918425062e-05,0.005290063035043991,IFNGR2,IFNγ
DDX23,-4.1634145,-0.6504407,3.1352323253535634e-05,0.004765553134537416,IFNGR2,IFNγ
ZC3HAV1,-4.1840134,-0.80236983,2.8640740898971823e-05,0.004438753256185751,IFNGR2,IFNγ
KDSR,-4.202736,-0.5549204,2.637079941957993e-05,0.004113844709454469,IFNGR2,IFNγ
OGFR,-4.228389,-0.6310389,2.3537082083105878e-05,0.0036961012606265336,IFNGR2,IFNγ
ADAR,-4.271618,-0.4428082,1.940597850729732e-05,0.003088285653456604,IFNGR2,IFNγ
HLA-C,-4.29932,-0.09408948,1.7132283709961606e-05,0.0027448696711527675,IFNGR2,IFNγ
GCLM,-4.312485,-0.29867905,1.6142970426638487e-05,0.00262179530655104,IFNGR2,IFNγ
UBA6,-4.3446164,-0.71676105,1.3951938127158699e-05,0.002297419144938799,IFNGR2,IFNγ
TRIM38,-4.369296,-0.9967436,1.2464755827454199e-05,0.002066883148116042,IFNGR2,IFNγ
PARP12,-4.3845105,-1.0696131,1.1624674331069429e-05,0.0019411568854811147,IFNGR2,IFNγ
RALB,-4.405179,-0.8521364,1.0569665814708914e-05,0.001777502948924665,IFNGR2,IFNγ
ARNTL2,-4.434114,-1.0170078,9.245166484425894e-06,0.0015658670548479056,IFNGR2,IFNγ
CPNE1,-4.4511695,-0.40604138,8.540386910071349e-06,0.0014625712658979345,IFNGR2,IFNγ
PSMA2,-4.470969,-0.25257742,7.786590679633575e-06,0.001357614986731407,IFNGR2,IFNγ
OASL,-4.511993,-1.8869337,6.4221398831273445e-06,0.0011364312008113103,IFNGR2,IFNγ
PTPRN2,-4.515466,-0.7376152,6.3177586459280895e-06,0.0011263661128740365,IFNGR2,IFNγ
PSMA3,-4.547424,-0.13825183,5.430661102728666e-06,0.0009755442126356223,IFNGR2,IFNγ
ECI2,-4.553815,-0.5382743,5.268165981717077e-06,0.000953578257698285,IFNGR2,IFNγ
IL6,-4.57622,-0.8811547,4.734526931555839e-06,0.0008673116479091737,IFNGR2,IFNγ
NAMPT,-4.5889163,-0.2926311,4.4555350189483115e-06,0.0008253878622601747,IFNGR2,IFNγ
TMEM140,-4.6082296,-2.0647175,4.061124297645365e-06,0.0007582470814627314,IFNGR2,IFNγ
TGM2,-4.616358,-1.1451347,3.905335992062516e-06,0.0007349470400300507,IFNGR2,IFNγ
HLA-A,-4.631034,-0.16603613,3.6384455281054833e-06,0.0006901985628994977,IFNGR2,IFNγ
