Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,COPI-coated Vesicle Budding (GO:0035964),1/5,0.0027472053583369,0.0420100986028478,0,0,499.625,2946.374119506432,TMED10
GO_Biological_Process_2023,T Cell Proliferation (GO:0042098),1/14,0.0076749307875411,0.0420100986028478,0,0,153.66153846153847,748.3003458854362,CTPS1
GO_Biological_Process_2023,Centromere Complex Assembly (GO:0034508),1/14,0.0076749307875411,0.0420100986028478,0,0,153.66153846153847,748.3003458854362,NPC1
GO_Biological_Process_2023,Positive Regulation Of Cytoplasmic Translation (GO:2000767),1/14,0.0076749307875411,0.0420100986028478,0,0,153.66153846153847,748.3003458854362,PABPC1
GO_Biological_Process_2023,Regulation Of Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0060211),1/14,0.0076749307875411,0.0420100986028478,0,0,153.66153846153847,748.3003458854362,PABPC1
GO_Biological_Process_2023,Regulation Of Monocyte Differentiation (GO:0045655),1/15,0.0082210881236714,0.0420100986028478,0,0,142.67857142857142,685.0073410932765,CDK6
GO_Biological_Process_2023,Intracellular Sterol Transport (GO:0032366),1/15,0.0082210881236714,0.0420100986028478,0,0,142.67857142857142,685.0073410932765,NPC1
GO_Biological_Process_2023,Astrocyte Development (GO:0014002),1/15,0.0082210881236714,0.0420100986028478,0,0,142.67857142857142,685.0073410932765,CDK6
GO_Biological_Process_2023,Positive Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0045737),1/15,0.0082210881236714,0.0420100986028478,0,0,142.67857142857142,685.0073410932765,CCND1
GO_Biological_Process_2023,Cell Surface Toll-Like Receptor Signaling Pathway (GO:0140895),1/16,0.0087669723009575,0.0420100986028478,0,0,133.16,630.7474630602054,LY96
GO_Biological_Process_2023,Regulation Of Interleukin-1 Production (GO:0032652),1/16,0.0087669723009575,0.0420100986028478,0,0,133.16,630.7474630602054,TMED10
GO_Biological_Process_2023,Intracellular Cholesterol Transport (GO:0032367),1/16,0.0087669723009575,0.0420100986028478,0,0,133.16,630.7474630602054,NPC1
GO_Biological_Process_2023,Toll-Like Receptor 4 Signaling Pathway (GO:0034142),1/17,0.0093125834341288,0.0420100986028478,0,0,124.83125,583.7594513941907,LY96
GO_Biological_Process_2023,Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902176),1/17,0.0093125834341288,0.0420100986028478,0,0,124.83125,583.7594513941907,NONO
GO_Biological_Process_2023,Negative Regulation Of Cellular Senescence (GO:2000773),1/17,0.0093125834341288,0.0420100986028478,0,0,124.83125,583.7594513941907,CDK6
GO_Biological_Process_2023,Kinetochore Assembly (GO:0051382),1/9,0.004940042922945,0.0420100986028478,0,0,249.7625,1326.3340991921912,NPC1
GO_Biological_Process_2023,Regulation Of Cell Cycle G2/M Phase Transition (GO:1902749),1/18,0.0098579216348164,0.0422361272962851,0,0,117.48235294117649,542.7073703814344,CDK6
GO_Biological_Process_2023,Positive Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904031),1/18,0.0098579216348164,0.0422361272962851,0,0,117.48235294117649,542.7073703814344,CCND1
GO_Biological_Process_2023,Mitotic Sister Chromatid Cohesion (GO:0007064),1/19,0.0104029870187894,0.0422361272962851,0,0,110.95,506.5602322657193,NPC1
GO_Biological_Process_2023,"Vesicle Targeting, Rough ER To cis-Golgi (GO:0048207)",1/19,0.0104029870187894,0.0422361272962851,0,0,110.95,506.5602322657193,TMED10
GO_Biological_Process_2023,COPII Vesicle Coating (GO:0048208),1/19,0.0104029870187894,0.0422361272962851,0,0,110.95,506.5602322657193,TMED10
GO_Biological_Process_2023,Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010971),1/21,0.0114922998030339,0.0426851433080575,0,0,99.845,445.9155629250324,CCND1
GO_Biological_Process_2023,Negative Regulation Of Myeloid Cell Differentiation (GO:0045638),1/22,0.0120365474388125,0.0426851433080575,0,0,95.08571428571427,420.260566245477,CDK6
GO_Biological_Process_2023,Glial Cell Development (GO:0021782),1/23,0.0125805227255512,0.0426851433080575,0,0,90.75909090909092,397.1259752205777,CDK6
GO_Biological_Process_2023,Cholesterol Efflux (GO:0033344),1/23,0.0125805227255512,0.0426851433080575,0,0,90.75909090909092,397.1259752205777,NPC1
GO_Biological_Process_2023,Regulation Of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031664),1/21,0.0114922998030339,0.0426851433080575,0,0,99.845,445.9155629250324,LY96
GO_Biological_Process_2023,mRNA Polyadenylation (GO:0006378),1/24,0.0131242257813257,0.0426851433080575,0,0,86.80869565217391,376.1677267870623,PABPC1
GO_Biological_Process_2023,Regulation Of Cytoplasmic Translation (GO:2000765),1/24,0.0131242257813257,0.0426851433080575,0,0,86.80869565217391,376.1677267870623,PABPC1
GO_Biological_Process_2023,Gliogenesis (GO:0042063),1/24,0.0131242257813257,0.0426851433080575,0,0,86.80869565217391,376.1677267870623,CDK6
GO_Biological_Process_2023,Positive Regulation Of Cell Cycle G2/M Phase Transition (GO:1902751),1/24,0.0131242257813257,0.0426851433080575,0,0,86.80869565217391,376.1677267870623,CCND1
GO_Biological_Process_2023,Protein-Containing Complex Assembly (GO:0065003),2/328,0.013374012345149,0.0426851433080575,0,0,13.403544648943422,57.82881373423379,TMED10;NPC1
GO_Biological_Process_2023,Sterol Transport (GO:0015918),1/25,0.0136676567242548,0.0426851433080575,0,0,83.1875,357.1008995813401,NPC1
GO_Biological_Process_2023,RNA Polyadenylation (GO:0043631),1/25,0.0136676567242548,0.0426851433080575,0,0,83.1875,357.1008995813401,PABPC1
GO_Biological_Process_2023,"Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900151)",1/23,0.0125805227255512,0.0426851433080575,0,0,90.75909090909092,397.1259752205777,PABPC1
GO_Biological_Process_2023,Negative Regulation Of TORC1 Signaling (GO:1904262),1/25,0.0136676567242548,0.0426851433080575,0,0,83.1875,357.1008995813401,NPC1
GO_Biological_Process_2023,Vesicle Cargo Loading (GO:0035459),1/25,0.0136676567242548,0.0426851433080575,0,0,83.1875,357.1008995813401,TMED10
Reactome_2022,TRAF6-mediated Induction Of TAK1 Complex Within TLR4 Complex R-HSA-937072,1/16,0.0087669723009575,0.0427176604175381,0,0,133.16,630.7474630602054,LY96
Reactome_2022,Regulation Of TLR By Endogenous Ligand R-HSA-5686938,1/18,0.0098579216348164,0.0427176604175381,0,0,117.48235294117649,542.7073703814344,LY96
Reactome_2022,MyD88 Deficiency (TLR2/4) R-HSA-5602498,1/17,0.0093125834341288,0.0427176604175381,0,0,124.83125,583.7594513941907,LY96
Reactome_2022,Caspase Activation Via Death Receptors In Presence Of Ligand R-HSA-140534,1/16,0.0087669723009575,0.0427176604175381,0,0,133.16,630.7474630602054,LY96
Reactome_2022,IRAK2 Mediated Activation Of TAK1 Complex Upon TLR7/8 Or 9 Stimulation R-HSA-975163,1/15,0.0082210881236714,0.0427176604175381,0,0,142.67857142857142,685.0073410932765,LY96
Reactome_2022,Activation Of IRF3/IRF7 Mediated By TBK1/IKK Epsilon R-HSA-936964,1/17,0.0093125834341288,0.0427176604175381,0,0,124.83125,583.7594513941907,LY96
Reactome_2022,IRAK4 Deficiency (TLR2/4) R-HSA-5603041,1/18,0.0098579216348164,0.0427176604175381,0,0,117.48235294117649,542.7073703814344,LY96
GO_Biological_Process_2023,Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571),1/26,0.0142108156769532,0.043056650483903,0,0,79.856,339.6876146735057,CCND1
GO_Biological_Process_2023,Regulation Of Myeloid Cell Differentiation (GO:0045637),1/26,0.0142108156769532,0.043056650483903,0,0,79.856,339.6876146735057,CDK6
GO_Biological_Process_2023,Protein Localization To Golgi Apparatus (GO:0034067),1/28,0.0152963180805092,0.0443593224334767,0,0,73.93333333333334,309.05191525436794,TMED10
GO_Biological_Process_2023,Vesicle Coating (GO:0006901),1/28,0.0152963180805092,0.0443593224334767,0,0,73.93333333333334,309.05191525436794,TMED10
GO_Biological_Process_2023,Positive Regulation Of Fibroblast Proliferation (GO:0048146),1/28,0.0152963180805092,0.0443593224334767,0,0,73.93333333333334,309.05191525436794,CDK6
GO_Biological_Process_2023,RNA-mediated Gene Silencing (GO:0031047),1/29,0.0158386617716755,0.044613955206405,0,0,71.28928571428571,295.5155744703354,PABPC1
GO_Biological_Process_2023,Positive Regulation Of Viral Genome Replication (GO:0045070),1/29,0.0158386617716755,0.044613955206405,0,0,71.28928571428571,295.5155744703354,PABPC1
GO_Biological_Process_2023,Negative Regulation Of Myeloid Leukocyte Differentiation (GO:0002762),1/30,0.0163807339505408,0.044613955206405,0,0,68.82758620689656,282.994903106762,CDK6
GO_Biological_Process_2023,Cytoplasmic Translational Initiation (GO:0002183),1/30,0.0163807339505408,0.044613955206405,0,0,68.82758620689656,282.994903106762,EIF3K
GO_Biological_Process_2023,B Cell Proliferation (GO:0042100),1/31,0.016922534733464,0.044613955206405,0,0,66.53,271.3831303578043,CTPS1
GO_Biological_Process_2023,Toll-Like Receptor Signaling Pathway (GO:0002224),1/31,0.016922534733464,0.044613955206405,0,0,66.53,271.3831303578043,LY96
GO_Biological_Process_2023,Bile Acid Metabolic Process (GO:0008206),1/31,0.016922534733464,0.044613955206405,0,0,66.53,271.3831303578043,NPC1
GO_Biological_Process_2023,Negative Regulation Of Osteoblast Differentiation (GO:0045668),1/32,0.0174640642408144,0.0448760131757636,0,0,64.38064516129032,260.5877419554691,CDK6
GO_Biological_Process_2023,Vesicle Budding From Membrane (GO:0006900),1/32,0.0174640642408144,0.0448760131757636,0,0,64.38064516129032,260.5877419554691,TMED10
GO_Biological_Process_2023,Regulation Of Amyloid-Beta Formation (GO:1902003),1/33,0.0180053225963931,0.0456885060883477,0,0,62.365625,250.52819538044847,TMED10
GO_Biological_Process_2023,Regulation Of Cellular Senescence (GO:2000772),1/35,0.0190870263243922,0.0478353869611313,0,0,58.69117647058823,232.34348501767585,CDK6
GO_Biological_Process_2023,COPII-coated Vesicle Budding (GO:0090114),1/36,0.0196274719399136,0.048004539804849,0,0,57.011428571428574,224.10195239289595,TMED10
GO_Biological_Process_2023,Regulation Of Erythrocyte Differentiation (GO:0045646),1/36,0.0196274719399136,0.048004539804849,0,0,57.011428571428574,224.10195239289595,CDK6
GO_Biological_Process_2023,RNA Stabilization (GO:0043489),1/37,0.0201676468856421,0.0487384799736351,0,0,55.425,216.36122001333428,PABPC1
