names,scores,logfoldchanges,pvals,pvals_adj,comparison
AC011511.3,-0.065668456,-19.84861,0.9476417883580515,1.0,Co-culture_vs_Control
CHST9,-0.065668456,-19.907967,0.9476417883580515,1.0,Co-culture_vs_Control
SLC25A34,-0.065668456,-20.034443,0.9476417883580515,1.0,Co-culture_vs_Control
RSPH14,-0.065668456,-19.852373,0.9476417883580515,1.0,Co-culture_vs_Control
AC005695.2,-0.065668456,-19.692043,0.9476417883580515,1.0,Co-culture_vs_Control
TMEM52B,-0.065668456,-19.795801,0.9476417883580515,1.0,Co-culture_vs_Control
AL357153.2,-0.065668456,-19.797506,0.9476417883580515,1.0,Co-culture_vs_Control
KCND3,-0.065668456,-19.82891,0.9476417883580515,1.0,Co-culture_vs_Control
KCNH8,-0.065668456,-20.163355,0.9476417883580515,1.0,Co-culture_vs_Control
ITLN2,-0.065668456,-19.883371,0.9476417883580515,1.0,Co-culture_vs_Control
PTPN20,-0.065668456,-19.770947,0.9476417883580515,1.0,Co-culture_vs_Control
AC026464.4,-0.065668456,-19.834278,0.9476417883580515,1.0,Co-culture_vs_Control
BX571846.1,-0.065668456,-19.96943,0.9476417883580515,1.0,Co-culture_vs_Control
C2orf16,-0.065668456,-20.111984,0.9476417883580515,1.0,Co-culture_vs_Control
RPS6KA6,-0.065668456,-19.653563,0.9476417883580515,1.0,Co-culture_vs_Control
AC025423.4,-0.065668456,-19.838072,0.9476417883580515,1.0,Co-culture_vs_Control
ZNF295-AS1,-0.065668456,-19.954815,0.9476417883580515,1.0,Co-culture_vs_Control
ST8SIA2,-0.065668456,-19.729311,0.9476417883580515,1.0,Co-culture_vs_Control
CCDC26,-0.065668456,-19.90388,0.9476417883580515,1.0,Co-culture_vs_Control
AL356417.2,-0.065668456,-19.857342,0.9476417883580515,1.0,Co-culture_vs_Control
AC121764.3,-0.065668456,-19.661118,0.9476417883580515,1.0,Co-culture_vs_Control
CA14,-0.065668456,-20.192413,0.9476417883580515,1.0,Co-culture_vs_Control
MESTIT1,-0.065668456,-19.830256,0.9476417883580515,1.0,Co-culture_vs_Control
AC103949.1,-0.065668456,-19.805277,0.9476417883580515,1.0,Co-culture_vs_Control
AL359094.1,-0.065668456,-19.777235,0.9476417883580515,1.0,Co-culture_vs_Control
CACNA2D3-AS1,-0.065668456,-19.701315,0.9476417883580515,1.0,Co-culture_vs_Control
ZMYM4-AS1,-0.065668456,-20.210154,0.9476417883580515,1.0,Co-culture_vs_Control
NEURL3,-0.065668456,-19.842365,0.9476417883580515,1.0,Co-culture_vs_Control
AC026741.1,-0.065668456,-19.703197,0.9476417883580515,1.0,Co-culture_vs_Control
TPH2,-0.065668456,-19.771544,0.9476417883580515,1.0,Co-culture_vs_Control
LINC01659,-0.065668456,-20.036325,0.9476417883580515,1.0,Co-culture_vs_Control
LINC01634,-0.065668456,-20.18775,0.9476417883580515,1.0,Co-culture_vs_Control
ATP8B4,-0.065668456,-19.848274,0.9476417883580515,1.0,Co-culture_vs_Control
B3GNT6,-0.065668456,-19.859903,0.9476417883580515,1.0,Co-culture_vs_Control
KLHL34,-0.065668456,-19.883589,0.9476417883580515,1.0,Co-culture_vs_Control
FNDC7,-0.065668456,-20.040411,0.9476417883580515,1.0,Co-culture_vs_Control
CFAP73,-0.065668456,-19.719324,0.9476417883580515,1.0,Co-culture_vs_Control
DSG2-AS1,-0.065668456,-19.90754,0.9476417883580515,1.0,Co-culture_vs_Control
AC016924.1,-0.065668456,-20.033712,0.9476417883580515,1.0,Co-culture_vs_Control
HP,-0.065668456,-19.69814,0.9476417883580515,1.0,Co-culture_vs_Control
AC139100.1,-0.065668456,-20.237698,0.9476417883580515,1.0,Co-culture_vs_Control
HPCAL4,-0.065668456,-19.89695,0.9476417883580515,1.0,Co-culture_vs_Control
