Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of TORC1 Signaling (GO:1904262)	1/25	1.366766e-02	4.268514e-02	0	0	8.318750e+01	3.571009e+02	NPC1
GO_Biological_Process_2023	Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571)	1/26	1.421082e-02	4.305665e-02	0	0	7.985600e+01	3.396876e+02	CCND1
GO_Biological_Process_2023	Regulation Of Myeloid Cell Differentiation (GO:0045637)	1/26	1.421082e-02	4.305665e-02	0	0	7.985600e+01	3.396876e+02	CDK6
GO_Biological_Process_2023	Protein Localization To Golgi Apparatus (GO:0034067)	1/28	1.529632e-02	4.435932e-02	0	0	7.393333e+01	3.090519e+02	TMED10
GO_Biological_Process_2023	Vesicle Coating (GO:0006901)	1/28	1.529632e-02	4.435932e-02	0	0	7.393333e+01	3.090519e+02	TMED10
GO_Biological_Process_2023	Positive Regulation Of Fibroblast Proliferation (GO:0048146)	1/28	1.529632e-02	4.435932e-02	0	0	7.393333e+01	3.090519e+02	CDK6
GO_Biological_Process_2023	RNA-mediated Gene Silencing (GO:0031047)	1/29	1.583866e-02	4.461396e-02	0	0	7.128929e+01	2.955156e+02	PABPC1
GO_Biological_Process_2023	Positive Regulation Of Viral Genome Replication (GO:0045070)	1/29	1.583866e-02	4.461396e-02	0	0	7.128929e+01	2.955156e+02	PABPC1
GO_Biological_Process_2023	Negative Regulation Of Myeloid Leukocyte Differentiation (GO:0002762)	1/30	1.638073e-02	4.461396e-02	0	0	6.882759e+01	2.829949e+02	CDK6
GO_Biological_Process_2023	Cytoplasmic Translational Initiation (GO:0002183)	1/30	1.638073e-02	4.461396e-02	0	0	6.882759e+01	2.829949e+02	EIF3K
GO_Biological_Process_2023	B Cell Proliferation (GO:0042100)	1/31	1.692253e-02	4.461396e-02	0	0	6.653000e+01	2.713831e+02	CTPS1
GO_Biological_Process_2023	Toll-Like Receptor Signaling Pathway (GO:0002224)	1/31	1.692253e-02	4.461396e-02	0	0	6.653000e+01	2.713831e+02	LY96
GO_Biological_Process_2023	Bile Acid Metabolic Process (GO:0008206)	1/31	1.692253e-02	4.461396e-02	0	0	6.653000e+01	2.713831e+02	NPC1
